SN59450,62.1467,5.2115
SN18269,59.9535,10.9035
SN57790,61.6788,5.2007
SN18700,59.9423,10.72
SN87110,69.3073,16.1312
SN40250,59.1972,7.5273
SN5350,60.3883,11.558
SN80740,66.9035,13.646
SN1070,59.0418,11.0322
SN26990,59.6193,10.215
SN26900,59.7538,10.1207
SN27214,59.4185,10.2692
SN61630,62.2583,8.2
SN83710,68.0482,16.0833
SN91551,69.4802,20.8693
SN82310,67.3084,14.4309
SN8140,61.4255,11.0803
SN27160,59.4198,10.4647
SN85450,68.2453,14.6693
SN85890,67.5267,12.1038
SN23500,61.122,9.063
SN50810,60.4742,5.3418
SN72710,64.509,12.0177
SN59800,62.3293,5.268
SN23410,61.0032006,9.3014123
SN50110,60.3372,6.2175
SN12680,61.0917,10.4762
SN64510,62.9133,8.1862
SN30330,59.2268,9.5772
SN51010,60.5205,5.7243
SN3370,59.3193,11.0422
SN44730,58.8662,5.7592
SN51800,60.7022,6.9373
SN56420,61.2928,5.0443
SN80707,66.8303,13.9067
SN59695,62.16,6.2877
SN16271,61.8883,9.4798
SN44640,58.9563,5.7278
SN26580,59.731,10.2142
SN47260,59.3445,5.2115
SN71780,63.9678,10.2237
SN29720,60.4188,8.5263
SN62270,62.7443,7.2617
SN37310,59.1723,8.3442
SN27262,59.2952,10.5145
SN13750,61.4183,8.8945
SN27271,59.27,10.4019
SN26840,59.7658,10.0123
SN79720,66.2785,14.8892
SN8780,62.0103,10.0003
SN12180,60.8028,11.2028
SN68290,63.2248,11.0075
SN90495,69.6942,18.982
SN33300,59.7675,7.8173
SN77280,65.6215,13.2892
SN27450,59.23,10.3483
SN88100,68.6457,18.2442
SN73550,64.531,12.3837
SN27435,59.2417,10.4023
SN96850,70.2122,28.159
SN68230,63.3987,10.4228
SN80880,67.093,14.1663
SN70850,64.1587,12.4692
SN19710,59.8558,10.4358
SN43010,58.507,6.5045
SN91180,69.8915,20.1387
SN26780,59.7655,10.0582
SN59680,62.180413205637954,6.078056927162791
SN41090,58.0247,7.4517
SN60640,62.297,7.2525
